hotel_reference_id,hotel_country,hotel_city,hotel_state_province,hotel_category,hotel_class
8728507381035937255,THAILAND,PATONG,PHUKET,Hotel,5.0
-1956273532176186246,THAILAND,PHUKET,PHUKET,Hotel,4.0
-2785511691874634444,THAILAND,CHIANG MAI,CHIANG MAI,Hotel,3.0
2174808793408370254,PHILIPPINES,MANILA,,Hotel,3.0
3442175789699404284,THAILAND,CHIANG MAI,,Hotel,5.0
7029720872044213062,PHILIPPINES,MANILA,METRO MANILA,Hotel,3.0
-2046280648550903102,THAILAND,UDON THANI,,Hotel,3.0
6611169542332318103,THAILAND,PATTAYA,CHON BURI,Hotel,3.0
7512028353867564755,PHILIPPINES,MAKATI,,Hotel,3.0
1959076169885432608,THAILAND,BANGKOK,BANGKOK,,
363166469182416485,THAILAND,SATTAHIP,CHONBURI,Hotel,3.0
-3758262016531742701,PHILIPPINES,BORACAY ISLAND,,Hotel,5.0
-5408371968548776459,PHILIPPINES,PALAWAN,PALAWAN,,
5369890024659662455,PHILIPPINES,BORACAY,,Hotel,3.5
6220487563421988450,PHILIPPINES,ANGELES CITY,PAMPANGA,Hotel,4.5
-3070762140102618725,THAILAND,CHONBURI,CHON BURI,,
2786983478174504428,PHILIPPINES,MANILA,,Hotel,3.0
1365535015891445036,PHILIPPINES,BORACAY,,Hotel,3.0
-2531751729107547483,THAILAND,BANGKOK,BANGKOK,Hotel,4.0
-5634650642625289237,PHILIPPINES,MAKATI,MANILA,Hotel,4.0
-2189514664422228273,THAILAND,CHA-AM,PHETCHABURI,,
1375215023360947918,PHILIPPINES,EL NIDO,,Hotel,3.0
7753787489630201599,PHILIPPINES,MANILA,,Hotel,3.0
-6374545913595907587,PHILIPPINES,KALIBO,AKLAN,Hotel,2.0
-2749722519316301726,THAILAND,CHIANG MAI,CHIANG MAI,,
-4636918215687441696,THAILAND,PATTAYA,CHON BURI,Hotel,4.0
-2204274877475943019,PHILIPPINES,ILOILO,ILOILO,,
82473197834564789,PHILIPPINES,BORACAY ISLAND,AKLAN,Hotel,2.0
6831391652652185825,THAILAND,KO TAO,SURAT THANI,Hotel,
-9078498885774555866,THAILAND,CHACHOENGSAO,,Hotel,3.5
6214078167112192452,PHILIPPINES,ILOILO,ILOILO,,
6170137708449061808,THAILAND,KHAO YAI,NAKHON RATCHASIMA,,
-6277787789480377546,THAILAND,BANGKOK,BANGKOK,Hotel,3.0
-670087381081027125,THAILAND,BANGKOK,BANGKOK,Hotel,3.0
2282880025077300813,PHILIPPINES,DAVAO CITY,,Hotel,3.0
-5377921497642982608,THAILAND,BANGKOK,BANGKOK,Hotel,3.0
-5047955139311362021,THAILAND,BANGKOK,,Hotel,5.0
-1699154191578905999,THAILAND,NAKHON PHANOM,NAKHON PHANOM,Hotel,4.0
220316616609608811,THAILAND,RAYONG,RAYONG,,
-5654567926134555841,THAILAND,BANGKOK,BANGKOK,,
-586652633449940950,THAILAND,BANGKOK,,Hotel,3.0
-2677190613977285772,THAILAND,BANGKOK,,Hotel,3.5
1929691339853557541,THAILAND,BANGKOK,BANGKOK,Hotel,4.0
-3685682204533545287,PHILIPPINES,TAGUIG,,Hotel,3.0
3814413631034392209,THAILAND,CHONBURI,CHON BURI,Hotel,3.5
7486517104914622091,PHILIPPINES,MANILA,,Hotel,5.0
60633269818801265,THAILAND,BANGKOK,,Hotel,3.0
-2235032499281174729,PHILIPPINES,PASAY,NATIONAL CAPITAL REGION,Hotel,2.0
-2220601301979915736,PHILIPPINES,MANILA,MANILA,,
-4890594297199511784,THAILAND,BANG PHLI,BANGKOK,Hotel,4.0
1837308912787868995,THAILAND,BANGKOK,BANGKOK,Hotel,3.5
3767071559205428537,THAILAND,BANGKOK,BANGKOK,Hotel,3.0
-6599470928590320753,THAILAND,KO PHI PHI,KRABI,Hotel,3.0
1151167727173828321,THAILAND,TRANG,,Hotel,3.0
959487115517244293,PHILIPPINES,BAGUIO,BENGUET,Hotel,3.0
7830477781886213680,THAILAND,UDON THANI,UDON THANI,,
-2892168715910002234,PHILIPPINES,MAKATI,NCR,,
2079915649864051317,PHILIPPINES,GENERAL LUNA,CARAGA,Hotel,3.5
-3316821804882525605,PHILIPPINES,MANILA,,Hotel,3.0
4230139936183636233,THAILAND,AYUTTHAYA,,,
3954241048498200999,THAILAND,CHIANG MAI,CHIANG MAI,Hotel,3.0
-2872737676491581897,THAILAND,BANGKOK,BANGKOK,Hotel,4.0
-7858792955470054120,PHILIPPINES,BORACAY ISLAND,AKLAN,Hotel,5.0
5696749883373057303,THAILAND,PHUKET,,Hotel,4.0
5533444932205932574,THAILAND,PHUKET,PHUKET,Hotel,4.0
6646315392993621003,THAILAND,UDON THANI,UDON THANI,Hotel,3.0
2921812236688759462,THAILAND,PATTAYA,CHONBURI,,
-5435325964700299253,THAILAND,KRABI,KRABI,,
-6732342209763647249,THAILAND,BANGKOK,BANGKOK,Hotel,3.0
8752383240963876321,THAILAND,PAI,MAE HONG SON,,
8966125315776529525,PHILIPPINES,ORMOC,LEYTE,Hotel,2.5
-4587516012409094828,PHILIPPINES,NAGA,CAMARINES SUR,Hotel,3.0
-463516668542703197,THAILAND,RAYONG,RAYONG,Hotel,3.0
3221186361885836496,THAILAND,HAT YAI,SONGKHLA,,
273276206590901714,PHILIPPINES,BORACAY,,Hotel,2.0
7901983317784294200,PHILIPPINES,BANTAY,,,
-7699521558888654619,THAILAND,BANGKOK,,Hotel,3.0
-4680468129213354413,THAILAND,PRANBURI,PRACHUAP KHIRI KHAN,Hotel,3.0
-5479119484128262951,PHILIPPINES,CEBU,,Hotel,2.5
5679072940546412329,PHILIPPINES,BORACAY,,Hotel,5.0
-1338898290911106494,PHILIPPINES,MAKATI CITY,,Hotel,5.0
-7902998833242225513,THAILAND,BANGKOK,BANGKOK,Hotel,4.0
